seed,author_rmse,repro_rmse,delta_rmse,author_mae,repro_mae,delta_mae,author_mape,repro_mape,delta_mape
0,222.48789978027344,190.17498779296875,-32.31291198730469,136.922119140625,123.43162536621094,-13.490493774414062,0.18194231390953064,0.1657732129096985,-0.016169100999832153
1,240.14585876464844,189.55584716796875,-50.59001159667969,134.34078979492188,125.22425079345703,-9.116539001464844,0.2697775959968567,0.1754693239927292,-0.0943082720041275
2,203.77381896972656,194.08775329589844,-9.686065673828125,122.94132232666016,126.42759704589844,3.4862747192382812,0.16552864015102386,0.1686454862356186,0.0031168460845947266
3,202.87757873535156,215.13128662109375,12.253707885742188,129.4314422607422,140.64593505859375,11.214492797851562,0.16742898523807526,0.17827555537223816,0.010846570134162903
4,192.49244689941406,190.1045684814453,-2.38787841796875,123.43108367919922,122.02632904052734,-1.404754638671875,0.16922597587108612,0.16957563161849976,0.00034965574741363525
5,183.41871643066406,199.16879272460938,15.750076293945312,114.68406677246094,128.02186584472656,13.337799072265625,0.15855751931667328,0.19477419555187225,0.036216676235198975
6,196.45326232910156,198.41116333007812,1.9579010009765625,126.28157806396484,128.87741088867188,2.5958328247070312,0.16914722323417664,0.17407271265983582,0.00492548942565918
7,214.5498504638672,200.08065795898438,-14.469192504882812,139.74896240234375,133.37037658691406,-6.3785858154296875,0.19785384833812714,0.1695588082075119,-0.028295040130615234
