group,metric,count,mean,std,best_seed,best_value,worst_seed,worst_value
author,RMSE,8,207.02492904663086,16.958407102317523,5,183.41871643066406,1,240.14585876464844
author,MAE,8,128.47267055511475,7.784936559237258,5,114.68406677246094,7,139.74896240234375
author,MAPE,8,0.1849327627569437,0.034001810695876246,5,0.15855751931667328,1,0.2697775959968567
reproduction,RMSE,8,197.08938217163086,7.928504730933912,1,189.55584716796875,3,215.13128662109375
reproduction,MAE,8,128.503173828125,5.63734757219737,4,122.02632904052734,3,140.64593505859375
reproduction,MAPE,8,0.17451811581850052,0.008555073686700148,0,0.1657732129096985,5,0.19477419555187225
